,MLII,V1,symbol
287,-0.33,-0.245,
288,-0.34,-0.245,
289,-0.345,-0.235,
290,-0.335,-0.225,
291,-0.32,-0.235,
292,-0.33,-0.235,
293,-0.325,-0.225,
294,-0.32,-0.22,
295,-0.325,-0.21,
296,-0.325,-0.205,
297,-0.315,-0.21,
298,-0.315,-0.185,
299,-0.32,-0.195,
300,-0.335,-0.195,
301,-0.335,-0.19,
302,-0.325,-0.18,
303,-0.32,-0.18,
304,-0.33,-0.165,
305,-0.34,-0.18,
306,-0.35,-0.19,
307,-0.33,-0.19,
308,-0.335,-0.185,
309,-0.325,-0.2,
310,-0.31,-0.205,
311,-0.34,-0.205,
312,-0.355,-0.22,
313,-0.335,-0.21,
314,-0.32,-0.215,
315,-0.305,-0.205,
316,-0.31,-0.21,
317,-0.315,-0.2,
318,-0.32,-0.21,
319,-0.35,-0.225,
320,-0.315,-0.2,
321,-0.32,-0.195,
322,-0.32,-0.205,
323,-0.32,-0.215,
324,-0.32,-0.22,
325,-0.32,-0.25,
326,-0.31,-0.22,
327,-0.31,-0.225,
328,-0.315,-0.235,
329,-0.315,-0.225,
330,-0.31,-0.23,
331,-0.295,-0.225,
332,-0.28,-0.225,
333,-0.28,-0.235,
334,-0.29,-0.23,
335,-0.295,-0.225,
336,-0.295,-0.235,
337,-0.285,-0.22,
338,-0.275,-0.215,
339,-0.24,-0.21,
340,-0.22,-0.205,
341,-0.215,-0.205,
342,-0.215,-0.185,
343,-0.175,-0.18,
344,-0.145,-0.18,
345,-0.14,-0.185,
346,-0.15,-0.175,
347,-0.185,-0.185,
348,-0.21,-0.19,
349,-0.215,-0.185,
350,-0.215,-0.19,
351,-0.205,-0.19,
352,-0.21,-0.2,
353,-0.215,-0.2,
354,-0.235,-0.215,
355,-0.255,-0.21,
356,-0.25,-0.205,
357,-0.25,-0.215,
358,-0.24,-0.21,
359,-0.255,-0.225,
360,-0.27,-0.215,
361,-0.275,-0.22,
362,-0.3,-0.22,
363,-0.3,-0.22,
364,-0.325,-0.22,
365,-0.32,-0.225,
366,-0.325,-0.225,
367,-0.315,-0.23,
368,-0.305,-0.24,
369,-0.305,-0.245,
370,-0.315,-0.23,
371,-0.32,-0.24,
372,-0.355,-0.26,
373,-0.35,-0.25,
374,-0.35,-0.25,
375,-0.335,-0.255,
376,-0.32,-0.24,
377,-0.325,-0.255,
378,-0.34,-0.245,
379,-0.35,-0.245,
380,-0.325,-0.225,
381,-0.305,-0.22,
382,-0.31,-0.195,
383,-0.325,-0.22,
384,-0.36,-0.215,
385,-0.355,-0.22,
386,-0.36,-0.19,
387,-0.355,-0.175,
388,-0.36,-0.165,
389,-0.37,-0.19,
390,-0.27,-0.185,
391,-0.085,-0.185,
392,0.135,-0.185,
393,0.385,-0.185,
394,0.69,-0.215,
395,0.945,-0.265,
396,1.02,-0.32,N
397,0.89,-0.37,
398,0.605,-0.39,
399,0.345,-0.355,
400,0.115,-0.31,
401,-0.055,-0.265,
402,-0.14,-0.23,
403,-0.185,-0.21,
404,-0.235,-0.195,
405,-0.24,-0.195,
406,-0.25,-0.2,
407,-0.27,-0.215,
408,-0.3,-0.225,
409,-0.315,-0.225,
410,-0.34,-0.21,
411,-0.37,-0.215,
412,-0.38,-0.225,
413,-0.405,-0.25,
414,-0.395,-0.25,
415,-0.385,-0.235,
416,-0.375,-0.205,
417,-0.365,-0.215,
418,-0.375,-0.23,
419,-0.395,-0.245,
420,-0.415,-0.245,
421,-0.42,-0.23,
422,-0.405,-0.2,
423,-0.39,-0.205,
424,-0.41,-0.205,
425,-0.4,-0.215,
426,-0.41,-0.195,
427,-0.39,-0.17,
428,-0.395,-0.175,
429,-0.39,-0.175,
430,-0.395,-0.185,
431,-0.415,-0.19,
432,-0.425,-0.18,
433,-0.42,-0.175,
434,-0.395,-0.16,
435,-0.39,-0.18,
436,-0.4,-0.19,
437,-0.405,-0.2,
438,-0.405,-0.195,
439,-0.395,-0.2,
440,-0.385,-0.2,
441,-0.385,-0.19,
442,-0.385,-0.205,
443,-0.4,-0.205,
444,-0.405,-0.2,
445,-0.405,-0.2,
446,-0.4,-0.19,
447,-0.39,-0.205,
448,-0.385,-0.205,
449,-0.4,-0.22,
450,-0.415,-0.22,
451,-0.405,-0.215,
452,-0.39,-0.22,
453,-0.375,-0.23,
454,-0.37,-0.235,
455,-0.385,-0.23,
456,-0.4,-0.23,
457,-0.385,-0.23,
458,-0.37,-0.225,
459,-0.36,-0.225,
460,-0.365,-0.235,
461,-0.365,-0.225,
462,-0.375,-0.225,
463,-0.38,-0.23,
464,-0.355,-0.225,
465,-0.34,-0.215,
466,-0.34,-0.215,
467,-0.335,-0.205,
468,-0.345,-0.195,
469,-0.335,-0.195,
470,-0.32,-0.185,
471,-0.315,-0.185,
472,-0.33,-0.18,
473,-0.315,-0.2,
474,-0.33,-0.19,
475,-0.315,-0.18,
476,-0.3,-0.17,
477,-0.275,-0.175,
478,-0.255,-0.17,
479,-0.24,-0.185,
480,-0.255,-0.195,
481,-0.245,-0.205,
482,-0.235,-0.185,
483,-0.22,-0.205,
484,-0.21,-0.195,
485,-0.21,-0.22,
486,-0.215,-0.215,
487,-0.205,-0.215,
488,-0.185,-0.21,
489,-0.17,-0.215,
490,-0.15,-0.21,
491,-0.14,-0.215,
492,-0.145,-0.23,
493,-0.14,-0.23,
494,-0.115,-0.225,
495,-0.12,-0.23,
496,-0.125,-0.245,
497,-0.115,-0.255,
498,-0.13,-0.27,
499,-0.12,-0.255,
500,-0.12,-0.25,
501,-0.125,-0.25,
502,-0.115,-0.24,
503,-0.13,-0.25,
504,-0.125,-0.26,
505,-0.125,-0.255,
506,-0.13,-0.24,
507,-0.14,-0.225,
508,-0.16,-0.215,
509,-0.17,-0.225,
510,-0.19,-0.22,
511,-0.195,-0.205,
512,-0.19,-0.195,
513,-0.18,-0.185,
514,-0.195,-0.185,
515,-0.225,-0.185,
516,-0.235,-0.19,
517,-0.24,-0.18,
518,-0.235,-0.165,
519,-0.235,-0.165,
520,-0.24,-0.16,
521,-0.27,-0.18,
522,-0.275,-0.185,
523,-0.28,-0.195,
524,-0.275,-0.18,
525,-0.275,-0.175,
526,-0.28,-0.19,
527,-0.3,-0.195,
528,-0.31,-0.195,
529,-0.31,-0.195,
530,-0.305,-0.185,
531,-0.295,-0.165,
532,-0.295,-0.18,
533,-0.31,-0.2,
534,-0.32,-0.2,
535,-0.305,-0.2,
536,-0.3,-0.19,
537,-0.295,-0.185,
538,-0.315,-0.19,
539,-0.315,-0.22,
540,-0.32,-0.23,
541,-0.305,-0.21,
542,-0.305,-0.21,
543,-0.295,-0.2,
544,-0.31,-0.205,
545,-0.305,-0.225,
546,-0.3,-0.23,
547,-0.305,-0.22,
548,-0.3,-0.2,
549,-0.31,-0.18,
550,-0.295,-0.185,
551,-0.295,-0.205,
552,-0.295,-0.205,
553,-0.29,-0.185,
554,-0.285,-0.16,
555,-0.28,-0.16,
556,-0.275,-0.17,
557,-0.275,-0.17,
558,-0.285,-0.17,
559,-0.29,-0.15,
560,-0.275,-0.145,
561,-0.28,-0.15,
562,-0.27,-0.17,
563,-0.285,-0.175,
564,-0.295,-0.175,
565,-0.295,-0.16,
566,-0.275,-0.15,
567,-0.27,-0.165,
568,-0.265,-0.17,
569,-0.265,-0.195,
570,-0.27,-0.19,
571,-0.265,-0.185,
572,-0.27,-0.165,
573,-0.26,-0.16,
574,-0.26,-0.175,
575,-0.265,-0.185,
576,-0.285,-0.185,
577,-0.285,-0.175,
578,-0.275,-0.175,
579,-0.26,-0.185,
580,-0.265,-0.205,
581,-0.28,-0.22,
582,-0.285,-0.215,
583,-0.28,-0.2,
584,-0.265,-0.195,
585,-0.265,-0.205,
586,-0.265,-0.21,
587,-0.265,-0.215,
588,-0.265,-0.21,
589,-0.27,-0.195,
590,-0.27,-0.19,
591,-0.255,-0.195,
592,-0.265,-0.2,
593,-0.28,-0.2,
594,-0.29,-0.185,
595,-0.28,-0.165,
596,-0.27,-0.15,
597,-0.27,-0.155,
598,-0.265,-0.16,
599,-0.265,-0.175,
600,-0.295,-0.165,
601,-0.28,-0.155,
602,-0.285,-0.14,
603,-0.265,-0.155,
604,-0.265,-0.155,
605,-0.28,-0.165,
606,-0.285,-0.16,
607,-0.285,-0.15,
608,-0.275,-0.15,
609,-0.275,-0.17,
610,-0.275,-0.18,
611,-0.275,-0.2,
612,-0.285,-0.18,
613,-0.285,-0.17,
614,-0.27,-0.16,
615,-0.265,-0.18,
616,-0.27,-0.19,
617,-0.275,-0.185,
618,-0.285,-0.19,
619,-0.28,-0.175,
620,-0.265,-0.16,
621,-0.265,-0.18,
622,-0.275,-0.185,
623,-0.27,-0.19,
624,-0.275,-0.2,
625,-0.275,-0.205,
626,-0.275,-0.19,
627,-0.26,-0.19,
628,-0.265,-0.21,
629,-0.275,-0.225,
630,-0.285,-0.225,
631,-0.28,-0.21,
632,-0.28,-0.19,
633,-0.26,-0.2,
634,-0.27,-0.205,
635,-0.275,-0.215,
636,-0.28,-0.22,
637,-0.28,-0.2,
638,-0.27,-0.175,
639,-0.255,-0.165,
640,-0.225,-0.165,
641,-0.235,-0.175,
642,-0.245,-0.175,
643,-0.24,-0.15,
644,-0.22,-0.14,
645,-0.21,-0.145,
646,-0.215,-0.15,
647,-0.22,-0.15,
648,-0.225,-0.16,
649,-0.235,-0.14,
650,-0.23,-0.12,
651,-0.22,-0.14,
652,-0.19,-0.155,
653,-0.18,-0.175,
654,-0.185,-0.185,
655,-0.15,-0.155,
656,-0.115,-0.145,
657,-0.105,-0.155,
658,-0.1,-0.175,
659,-0.125,-0.195,
660,-0.15,-0.19,
661,-0.155,-0.18,
662,-0.15,-0.165,
663,-0.16,-0.175,
664,-0.175,-0.18,
665,-0.185,-0.205,
666,-0.2,-0.2,
667,-0.19,-0.175,
668,-0.19,-0.185,
669,-0.18,-0.2,
670,-0.195,-0.215,
671,-0.21,-0.235,
672,-0.225,-0.23,
673,-0.22,-0.21,
674,-0.225,-0.205,
675,-0.24,-0.205,
676,-0.24,-0.22,
677,-0.26,-0.22,
678,-0.29,-0.23,
679,-0.285,-0.205,
680,-0.28,-0.21,
681,-0.265,-0.21,
682,-0.275,-0.2,
683,-0.295,-0.21,
684,-0.305,-0.2,
685,-0.295,-0.17,
686,-0.29,-0.16,
687,-0.275,-0.16,
688,-0.285,-0.17,
689,-0.295,-0.175,
690,-0.305,-0.19,
691,-0.32,-0.155,
692,-0.305,-0.15,
693,-0.295,-0.155,
694,-0.3,-0.16,
695,-0.305,-0.185,
696,-0.305,-0.18,
697,-0.295,-0.17,
698,-0.285,-0.15,
699,-0.29,-0.155,
700,-0.31,-0.18,
701,-0.34,-0.18,
702,-0.37,-0.185,
703,-0.365,-0.16,
704,-0.29,-0.16,
705,-0.15,-0.16,
706,0.065,-0.165,
707,0.295,-0.18,
708,0.54,-0.19,
709,0.84,-0.2,
710,1.085,-0.215,
711,1.165,-0.265,N
712,1.04,-0.335,
713,0.765,-0.365,
714,0.48,-0.35,
715,0.22,-0.31,
716,0.015,-0.24,
717,-0.08,-0.2,
718,-0.115,-0.19,
719,-0.185,-0.21,
720,-0.235,-0.22,
721,-0.245,-0.2,
722,-0.235,-0.19,
723,-0.24,-0.18,
724,-0.26,-0.18,
725,-0.3,-0.19,
726,-0.345,-0.185,
727,-0.35,-0.16,
728,-0.365,-0.15,
729,-0.35,-0.155,
730,-0.365,-0.15,
731,-0.375,-0.155,
732,-0.39,-0.145,
733,-0.375,-0.13,
734,-0.37,-0.13,
735,-0.37,-0.135,
736,-0.375,-0.14,
737,-0.385,-0.15,
738,-0.39,-0.15,
739,-0.395,-0.135,
740,-0.4,-0.13,
741,-0.39,-0.145,
742,-0.39,-0.16,
743,-0.4,-0.155,
744,-0.4,-0.155,
745,-0.39,-0.165,
746,-0.385,-0.15,
747,-0.385,-0.16,
748,-0.385,-0.155,
749,-0.395,-0.16,
750,-0.41,-0.155,
751,-0.4,-0.16,
752,-0.39,-0.15,
753,-0.385,-0.16,
754,-0.395,-0.16,
755,-0.395,-0.17,
756,-0.405,-0.185,
757,-0.405,-0.18,
758,-0.39,-0.18,
759,-0.38,-0.18,
760,-0.38,-0.19,
761,-0.395,-0.19,
762,-0.4,-0.185,
763,-0.41,-0.185,
764,-0.39,-0.175,
765,-0.385,-0.17,
766,-0.375,-0.17,
767,-0.385,-0.18,
768,-0.395,-0.165,
769,-0.395,-0.155,
770,-0.39,-0.155,
771,-0.38,-0.15,
772,-0.385,-0.135,
773,-0.39,-0.13,
774,-0.395,-0.135,
775,-0.385,-0.125,
776,-0.375,-0.125,
777,-0.365,-0.115,
778,-0.365,-0.12,
779,-0.37,-0.13,
780,-0.37,-0.13,
781,-0.365,-0.13,
782,-0.35,-0.12,
783,-0.34,-0.13,
784,-0.345,-0.125,
785,-0.345,-0.145,
786,-0.36,-0.155,
787,-0.35,-0.155,
788,-0.32,-0.145,
789,-0.305,-0.13,
790,-0.29,-0.14,
791,-0.3,-0.15,
792,-0.29,-0.16,
793,-0.295,-0.155,
794,-0.28,-0.145,
795,-0.255,-0.13,
796,-0.235,-0.15,
797,-0.245,-0.175,
798,-0.245,-0.185,
799,-0.235,-0.185,
800,-0.225,-0.17,
801,-0.205,-0.16,
802,-0.18,-0.165,
803,-0.18,-0.18,
804,-0.19,-0.185,
805,-0.17,-0.185,
806,-0.155,-0.155,
807,-0.145,-0.16,
808,-0.14,-0.17,
809,-0.15,-0.18,
810,-0.14,-0.19,
811,-0.145,-0.165,
812,-0.135,-0.155,
813,-0.11,-0.14,
814,-0.13,-0.13,
815,-0.125,-0.15,
816,-0.13,-0.15,
817,-0.135,-0.145,
818,-0.12,-0.14,
819,-0.12,-0.14,
820,-0.12,-0.125,
821,-0.145,-0.145,
822,-0.165,-0.15,
823,-0.17,-0.14,
824,-0.175,-0.12,
825,-0.175,-0.12,
826,-0.19,-0.13,
827,-0.215,-0.15,
828,-0.225,-0.155,
829,-0.235,-0.15,
830,-0.25,-0.135,
831,-0.245,-0.135,
832,-0.265,-0.15,
833,-0.27,-0.155,
834,-0.295,-0.15,
835,-0.315,-0.13,
836,-0.305,-0.12,
837,-0.295,-0.12,
838,-0.3,-0.125,
839,-0.315,-0.145,
840,-0.325,-0.155,
841,-0.325,-0.15,
842,-0.325,-0.135,
843,-0.325,-0.145,
844,-0.33,-0.16,
845,-0.34,-0.165,
846,-0.355,-0.17,
847,-0.36,-0.16,
848,-0.35,-0.145,
849,-0.335,-0.135,
850,-0.355,-0.155,
851,-0.36,-0.165,
852,-0.365,-0.16,
853,-0.365,-0.145,
854,-0.345,-0.125,
855,-0.35,-0.12,
856,-0.36,-0.11,
857,-0.36,-0.125,
858,-0.355,-0.115,
859,-0.35,-0.115,
860,-0.345,-0.095,
861,-0.335,-0.095,
862,-0.345,-0.1,
863,-0.365,-0.115,
864,-0.375,-0.115,
865,-0.365,-0.09,
866,-0.35,-0.085,
867,-0.355,-0.09,
868,-0.345,-0.105,
869,-0.35,-0.125,
870,-0.35,-0.125,
871,-0.355,-0.105,
872,-0.345,-0.11,
873,-0.33,-0.12,
874,-0.325,-0.125,
875,-0.33,-0.14,
876,-0.35,-0.145,
877,-0.35,-0.125,
878,-0.35,-0.11,
879,-0.34,-0.12,
880,-0.34,-0.12,
881,-0.35,-0.125,
882,-0.355,-0.145,
883,-0.345,-0.135,
884,-0.335,-0.13,
885,-0.33,-0.145,
886,-0.34,-0.14,
887,-0.34,-0.175,
888,-0.35,-0.18,
889,-0.34,-0.15,
890,-0.325,-0.135,
891,-0.325,-0.135,
892,-0.32,-0.145,
893,-0.34,-0.165,
894,-0.355,-0.165,
895,-0.36,-0.16,
896,-0.355,-0.135,
897,-0.345,-0.12,
898,-0.33,-0.135,
899,-0.335,-0.14,
900,-0.345,-0.14,
901,-0.345,-0.125,
902,-0.35,-0.12,
903,-0.33,-0.1,
904,-0.33,-0.095,
905,-0.345,-0.1,
906,-0.345,-0.115,
907,-0.35,-0.105,
908,-0.34,-0.085,
909,-0.345,-0.07,
910,-0.345,-0.08,
911,-0.345,-0.115,
912,-0.35,-0.125,
913,-0.345,-0.115,
914,-0.345,-0.095,
915,-0.335,-0.105,
916,-0.355,-0.11,
917,-0.36,-0.11,
918,-0.365,-0.14,
919,-0.365,-0.14,
920,-0.36,-0.12,
921,-0.35,-0.105,
922,-0.355,-0.11,
923,-0.355,-0.115,
924,-0.355,-0.125,
925,-0.35,-0.13,
926,-0.345,-0.105,
927,-0.34,-0.115,
928,-0.355,-0.115,
929,-0.37,-0.135,
930,-0.38,-0.145,
931,-0.38,-0.14,
932,-0.375,-0.13,
933,-0.365,-0.13,
934,-0.36,-0.14,
935,-0.355,-0.155,
936,-0.355,-0.165,
937,-0.365,-0.16,
938,-0.365,-0.135,
939,-0.345,-0.115,
940,-0.34,-0.12,
941,-0.36,-0.145,
942,-0.385,-0.15,
943,-0.38,-0.15,
944,-0.36,-0.11,
945,-0.345,-0.105,
946,-0.345,-0.105,
947,-0.365,-0.105,
948,-0.375,-0.11,
949,-0.385,-0.11,
950,-0.355,-0.09,
951,-0.35,-0.07,
952,-0.35,-0.08,
953,-0.36,-0.1,
954,-0.37,-0.105,
955,-0.37,-0.1,
956,-0.355,-0.075,
957,-0.35,-0.075,
958,-0.35,-0.095,
959,-0.365,-0.105,
960,-0.365,-0.115,
961,-0.36,-0.11,
962,-0.335,-0.105,
963,-0.325,-0.09,
964,-0.33,-0.105,
965,-0.325,-0.105,
966,-0.33,-0.11,
967,-0.315,-0.115,
968,-0.305,-0.095,
969,-0.31,-0.085,
970,-0.32,-0.1,
971,-0.325,-0.125,
972,-0.32,-0.13,
973,-0.31,-0.13,
974,-0.28,-0.105,
975,-0.265,-0.12,
976,-0.245,-0.125,
977,-0.24,-0.145,
978,-0.23,-0.155,
979,-0.23,-0.145,
980,-0.225,-0.115,
981,-0.22,-0.115,
982,-0.235,-0.125,
983,-0.25,-0.14,
984,-0.265,-0.165,
985,-0.275,-0.15,
986,-0.255,-0.13,
987,-0.26,-0.11,
988,-0.255,-0.11,
989,-0.27,-0.12,
990,-0.3,-0.11,
991,-0.315,-0.1,
992,-0.315,-0.095,
993,-0.32,-0.085,
994,-0.325,-0.08,
995,-0.335,-0.09,
996,-0.355,-0.1,
997,-0.365,-0.095,
998,-0.365,-0.085,
999,-0.38,-0.09,
1000,-0.39,-0.1,
1001,-0.4,-0.105,
1002,-0.395,-0.1,
1003,-0.38,-0.1,
1004,-0.375,-0.095,
1005,-0.385,-0.1,
1006,-0.415,-0.11,
1007,-0.42,-0.115,
1008,-0.42,-0.115,
1009,-0.425,-0.105,
1010,-0.415,-0.095,
1011,-0.405,-0.095,
1012,-0.41,-0.1,
1013,-0.425,-0.115,
1014,-0.43,-0.115,
1015,-0.41,-0.11,
1016,-0.395,-0.105,
1017,-0.4,-0.115,
1018,-0.42,-0.14,
1019,-0.425,-0.14,
1020,-0.435,-0.135,
1021,-0.45,-0.125,
1022,-0.455,-0.11,
1023,-0.465,-0.105,
1024,-0.45,-0.125,
1025,-0.41,-0.135,
1026,-0.265,-0.135,
1027,-0.025,-0.105,
1028,0.205,-0.1,
1029,0.46,-0.11,
1030,0.715,-0.135,
1031,0.975,-0.17,
1032,1.095,-0.19,N
1033,1.01,-0.205,
1034,0.755,-0.21,
1035,0.46,-0.215,
1036,0.19,-0.21,
1037,-0.05,-0.18,
1038,-0.185,-0.135,
1039,-0.225,-0.085,
1040,-0.25,-0.06,
1041,-0.28,-0.06,
1042,-0.325,-0.075,
1043,-0.35,-0.09,
1044,-0.355,-0.09,
1045,-0.35,-0.075,
1046,-0.365,-0.075,
1047,-0.385,-0.075,
1048,-0.425,-0.08,
1049,-0.445,-0.09,
1050,-0.445,-0.09,
1051,-0.455,-0.095,
1052,-0.45,-0.09,
1053,-0.455,-0.09,
1054,-0.48,-0.09,
1055,-0.495,-0.1,
1056,-0.485,-0.1,
1057,-0.475,-0.085,
1058,-0.47,-0.085,
1059,-0.47,-0.08,
1060,-0.48,-0.095,
1061,-0.505,-0.115,
1062,-0.5,-0.13,
1063,-0.49,-0.13,
1064,-0.48,-0.13,
1065,-0.495,-0.13,
1066,-0.5,-0.13,
1067,-0.49,-0.14,
1068,-0.49,-0.135,
1069,-0.475,-0.135,
1070,-0.465,-0.13,
1071,-0.475,-0.135,
